date/yyyy-mm-dd,time_start/hh:mm:ss,time_end/hh:mm:ss,CH4 ground truth count,CO2 ground truth count,CH4 Pressure outlet (bar(a)),CH4 Pressure outlet (bar(a)) STD,CH4 Pressure outlet (bar(a)) STUNC,CH4 Temperature (°C),CH4 Temperature (°C) STD,CH4 Temperature (°C) STUNC,CO2 Pressure outlet (bar(a)),CO2 Pressure outlet (bar(a)) STD,CO2 Pressure outlet (bar(a)) STUNC,CO2 Temperature (°C),CO2 Temperature (°C) STD,CO2 Temperature (°C) STUNC,CH4 Flow (ls/min),CH4 Flow (ls/min) STD,CH4 Flow (ls/min) STUNC,CO2 Flow (ls/min),CO2 Flow (ls/min) STD,CO2 Flow (ls/min) STUNC,Total vol. flow (ls/min),Total vol. flow (ls/min) COMB-UNC,CH4 Vol. fraction,CH4 Vol. fraction COMB-UNC,CO2 Vol. fraction,CO2 Vol. fraction COMB-UNC,SBG count,Flow SBG (ls/min),Flow SBG (ls/min) STD,Flow SBG (ls/min) STUNC,Pressure SBG (Pa),Pressure SBG (Pa) STD,Pressure SBG (Pa) STUNC,Temperature SBG (°C),SBG err,SBG rel-err,AHT count,AHT Humidity (%rH),AHT Temp (deg C),AHT Temp (deg C) STD,AHT Temp (deg C) STUNC,AHT Humidity (%rH) STD,AHT Humidity (%rH) STUNC
2024-08-13,09:37:00,09:44:00,6786,6786,0.986264333292072,0.000674030306834,8.182245327457656e-06,23.549435011788976,0.0947267566894572,0.0011499150030035,0.99134163122458,0.0006757291591953,8.202868178766153e-06,25.41169414161509,0.1667803081786896,0.0020245935286156,0.0035974100720548,4.452875837169667e-05,5.405472445825984e-07,1.7225825439994695,2.428415369272434e-05,2.94792238670775e-07,1.7261799540715244,6.157059262394399e-07,0.0020840295726813,0.0001502605365308,0.9979159704273186,3.956164963514182e-07,8,1.9775793534999144,0.8103432945564225,0.2864996193349471,302.125,107.25994792359089,37.922118263243526,25.492,-0.25139939942839,-0.1456391605263499,0,0.0,,,,,
2024-08-13,09:46:00,09:52:00,5787,5787,1.0042920784689824,0.0003925889739373,5.160732598849765e-06,23.92996795541731,0.059173185243411,0.0007778542097114,1.009932420494211,0.0003611573058605,4.747551269651281e-06,25.909602528598583,0.0694307778159749,0.0009126941973046,0.0035118611296081,3.118649657708115e-05,4.0995845582495753e-07,3.0397897142698422,6.186282237423654e-05,8.132105211251428e-07,3.0433015753994503,9.10701535724526e-07,0.0011539642203047,0.0001167357670736,0.9988460357796952,4.01394188197121e-07,7,4.616950248160192,0.7025982958388065,0.2655571946238956,764.0,228.09866286324433,86.21319090321553,25.492,-1.5736486727607415,-0.5170860112850274,0,0.0,,,,,
2024-08-13,09:53:00,09:59:00,5792,5792,1.0407089437154695,0.0103185365359948,0.0001355825599666,24.073881224792817,0.0105664262429547,0.0001388397584018,1.0475658452520715,0.010687988307898,0.0001404370484732,26.02898112310083,0.0250983969044933,0.000329785613638,0.0035014063043756,3.248961845982042e-05,4.269041087129909e-07,4.91510168537095,0.5323367183920176,0.0069947491867714,4.918603091675326,0.0069947491997988,0.000711870065365,0.001427317743878,0.9992881299346348,0.0020118706591233,7,5.868494283758343,1.29811903825263,0.4906428781964001,1181.857142857143,460.4021534019393,174.01565728287738,25.492,-0.9498911920830172,-0.193122147564762,0,0.0,,,,,
2024-08-13,10:01:00,10:07:00,5791,5790,1.098197007805215,0.000210421496956,2.7651157975869456e-06,23.962498031600763,0.0513577115769278,0.0006748836105797,1.1069533027115717,0.0001906669395005,2.5057406221265647e-06,25.861875720552675,0.0564308530125792,0.0007416129985892,0.0035371329369087,3.4150345432838925e-05,4.4876431835827826e-07,7.092773785247499,0.0002473832418828,3.2511049898987734e-06,7.096310918184408,3.281931301653993e-06,0.0004984467250222,0.0001268731789119,0.9995015532749776,6.511477447527403e-07,7,7.765164110901935,2.2898350994846397,0.8654763166547432,2167.8571428571427,895.2674513930514,338.3792904680886,25.492,-0.6688531927175267,-0.0942536481883255,0,0.0,,,,,
2024-08-13,10:09:00,10:15:00,5689,5689,0.991245328709564,0.0004685150530446,6.211630047894257e-06,24.393151617967657,0.2623934523189197,0.0034788445797053,0.995305759757384,0.0002501298610519,3.3162523822641648e-06,26.28723069602672,0.2098436946642665,0.0027821334462296,0.516982102487816,5.818165280809815e-05,7.713794903073382e-07,1.2058635464287966,1.8525287464084132e-05,2.4561053377041825e-07,1.7228456489166124,8.095374311085304e-07,0.300074532395234,1.5643204351764074e-06,0.699925467604766,5.121293824577485e-07,7,4.477172993325346,3.1679527809573953,1.1973736033726776,1012.0,1188.646288851313,449.2660681600603,25.492,-2.7543273444087335,-1.5987081292748158,0,0.0,,,,,
2024-08-13,10:18:00,10:24:00,5783,5783,1.0064359927200413,0.0003340870446623,4.393220875540137e-06,25.3396500821373,0.1093188427176318,0.0014375350064904,1.0099315540549887,0.0002252696588796,2.9622799920790848e-06,27.060393005879305,0.1007784566090004,0.0013252295365924,0.9120038200219092,5.593495067823044e-05,7.355406230741441e-07,2.1278763606140063,0.0001312422914306,1.725826797773198e-06,3.0398801806359153,1.8760325541163703e-06,0.3000130813810978,1.0155398916852058e-06,0.6999869186189023,1.0191535262087304e-06,7,3.617005271264761,0.6872734716485234,0.2597649555248562,518.7142857142857,141.99614347546472,53.66949753804664,25.492,-0.5771250906288459,-0.1898512626600028,0,0.0,,,,,
2024-08-13,10:26:00,10:32:00,5790,5789,1.0395370426770294,0.0002430705801361,3.194428086412165e-06,25.585828926252155,0.0120183939723293,0.0001579454627428,1.043272432078079,0.0001679064161906,2.2068129170013696e-06,27.24874945603731,0.0113919599044271,0.0001497258105879,1.51991854693,7.972360042729716e-05,1.0477257601979008e-06,3.546408550739601,0.0001134788094912,1.4914647591959956e-06,5.0663270976696015,1.822689330770836e-06,0.3000040300653167,7.775649753170419e-07,0.6999959699346832,5.534427117218432e-07,7,6.681352781105597,1.2327618230786972,0.465940172805834,1450.0,496.949024884176,187.82907630279692,25.492,-1.615025683435995,-0.3187764335585183,0,0.0,,,,,
2024-08-13,10:34:00,10:39:00,4831,4830,1.0854727043055268,0.0001178948552415,1.6961971719971144e-06,25.492862890912857,0.0380438261118467,0.0005473506891427,1.0898559317598344,8.145141851419903e-05,1.1719931862286123e-06,27.123286827536234,0.0370104689964783,0.0005325385152799,2.1278592744449285,0.0001481427598938,2.1313850368531163e-06,4.964953530644564,0.0002174549902239,3.1289297535002704e-06,7.092812805089492,3.785895346897563e-06,0.3000021758530085,1.1349985658144547e-06,0.6999978241469915,8.258699684668129e-07,6,7.940423284271778,1.1368604068832338,0.4641213176061319,1992.6666666666667,536.1509737626769,218.88271846914836,25.492,-0.8476104791822854,-0.1195027279690896,0,0.0,,,,,
2024-08-08,11:28:00,11:33:00,4818,4818,0.9984555509630552,0.0002561040901233,3.6896325468563024e-06,26.357347851598178,0.1560830245073051,0.0022486521279554,0.9999683965836448,0.0001919265940685,2.765042166026041e-06,28.069703544416765,0.1652110791770995,0.0023801579058715,0.8613530769874284,4.2899903514491967e-05,6.180490135391535e-07,0.8614092382235694,2.1660873644050183e-05,3.120632097361025e-07,1.7227623152109977,6.923640877511769e-07,0.4999837002366359,8.224173133822831e-07,0.5000162997633641,5.410702342347458e-07,6,4.277542401163786,2.571020463262315,1.0496147088744494,854.0,846.1971401511588,345.4585358621205,27.131,-2.5547800859527885,-1.4829556366514136,0,0.0,,,,,
2024-08-08,11:35:00,11:40:00,4820,4820,1.01095214626556,0.0002187650545818,3.151043728362078e-06,26.834559536099587,0.0575270629180573,0.0008286071610729,1.0122731611618256,0.0001624365372904,2.339700154873068e-06,28.547149965352695,0.0568873531606145,0.0008193929224322,1.5199199862398651,8.421720199024564e-05,1.213046053716385e-06,1.5199532612016908,2.148188291360551e-05,3.0942031650214173e-07,3.039873247441556,1.2518872396111322e-06,0.4999945269162367,8.980862592849312e-07,0.5000054730837632,4.593900033174515e-07,6,3.625248545267842,0.581395464607516,0.2373537045094618,510.0,110.227038425243,45.0,26.311,-0.5853752978262858,-0.1925656927699055,0,0.0,,,,,
